DATE,ETOTALUSQ176N
01-01-2004,122632
01-02-2004,122632
01-03-2004,122632
01-04-2004,123099
01-05-2004,123099
01-06-2004,123099
01-07-2004,123587
01-08-2004,123587
01-09-2004,123587
01-10-2004,124096
01-11-2004,124096
01-12-2004,124096
01-01-2005,124611
01-02-2005,124611
01-03-2005,124611
01-04-2005,125118
01-05-2005,125118
01-06-2005,125118
01-07-2005,125619
01-08-2005,125619
01-09-2005,125619
01-10-2005,126104
01-11-2005,126104
01-12-2005,126104
01-01-2006,126584
01-02-2006,126584
01-03-2006,126584
01-04-2006,127072
01-05-2006,127072
01-06-2006,127072
01-07-2006,127548
01-08-2006,127548
01-09-2006,127548
01-10-2006,127991
01-11-2006,127991
01-12-2006,127991
01-01-2007,128439
01-02-2007,128439
01-03-2007,128439
01-04-2007,128888
01-05-2007,128888
01-06-2007,128888
01-07-2007,129300
01-08-2007,129300
01-09-2007,129300
01-10-2007,129634
01-11-2007,129634
01-12-2007,129634
01-01-2008,129968
01-02-2008,129968
01-03-2008,129968
01-04-2008,130303
01-05-2008,130303
01-06-2008,130303
01-07-2008,130590
01-08-2008,130590
01-09-2008,130590
01-10-2008,130797
01-11-2008,130797
01-12-2008,130797
01-01-2009,131001
01-02-2009,131001
01-03-2009,131001
01-04-2009,131207
01-05-2009,131207
01-06-2009,131207
01-07-2009,131375
01-08-2009,131375
01-09-2009,131375
01-10-2009,131490
01-11-2009,131490
01-12-2009,131490
01-01-2010,131626
01-02-2010,131626
01-03-2010,131626
01-04-2010,131749
01-05-2010,131749
01-06-2010,131749
01-07-2010,131874
01-08-2010,131874
01-09-2010,131874
01-10-2010,131995
01-11-2010,131995
01-12-2010,131995
01-01-2011,132117
01-02-2011,132117
01-03-2011,132117
01-04-2011,132239
01-05-2011,132239
01-06-2011,132239
01-07-2011,132362
01-08-2011,132362
01-09-2011,132362
01-10-2011,132491
01-11-2011,132491
01-12-2011,132491
01-01-2012,132619
01-02-2012,132619
01-03-2012,132619
01-04-2012,132748
01-05-2012,132748
01-06-2012,132748
01-07-2012,132890
01-08-2012,132890
01-09-2012,132890
01-10-2012,133062
01-11-2012,133062
01-12-2012,133062
01-01-2013,133234
01-02-2013,133234
01-03-2013,133234
01-04-2013,133408
01-05-2013,133408
01-06-2013,133408
01-07-2013,133593
01-08-2013,133593
01-09-2013,133593
01-10-2013,133799
01-11-2013,133799
01-12-2013,133799
01-01-2014,134005
01-02-2014,134005
01-03-2014,134005
01-04-2014,134212
01-05-2014,134212
01-06-2014,134212
01-07-2014,134423
01-08-2014,134423
01-09-2014,134423
01-10-2014,134642
01-11-2014,134642
01-12-2014,134642
01-01-2015,134862
01-02-2015,134862
01-03-2015,134862
01-04-2015,135081
01-05-2015,135081
01-06-2015,135081
01-07-2015,135309
01-08-2015,135309
01-09-2015,135309
01-10-2015,135552
01-11-2015,135552
01-12-2015,135552
01-01-2016,135795
01-02-2016,135795
01-03-2016,135795
01-04-2016,136039
01-05-2016,136039
01-06-2016,136039
01-07-2016,136289
01-08-2016,136289
01-09-2016,136289
01-10-2016,136554
01-11-2016,136554
01-12-2016,136554
01-01-2017,136818
01-02-2017,136818
01-03-2017,136818
01-04-2017,137083
01-05-2017,137083
01-06-2017,137083
01-07-2017,137354
01-08-2017,137354
01-09-2017,137354
01-10-2017,137637
01-11-2017,137637
01-12-2017,137637
01-01-2018,137920
01-02-2018,137920
01-03-2018,137920
01-04-2018,138203
01-05-2018,138203
01-06-2018,138203
01-07-2018,138488
01-08-2018,138488
01-09-2018,138488
01-10-2018,138778
01-11-2018,138778
01-12-2018,138778
01-01-2019,139069
01-02-2019,139069
01-03-2019,139069
01-04-2019,139360
01-05-2019,139360
01-06-2019,139360
01-07-2019,139655
01-08-2019,139655
01-09-2019,139655
01-10-2019,139961
01-11-2019,139961
01-12-2019,139961
01-01-2020,140266
01-02-2020,140266
01-03-2020,140266
01-04-2020,140600
01-05-2020,140600
01-06-2020,140600
01-07-2020,140914
01-08-2020,140914
01-09-2020,140914
01-10-2020,141251
01-11-2020,141251
01-12-2020,141251
01-01-2021,141589
01-02-2021,141589
01-03-2021,141589
01-04-2021,141927
01-05-2021,141927
01-06-2021,141927
01-07-2021,142288
01-08-2021,142288
01-09-2021,142288
01-10-2021,142697
01-11-2021,142697
01-12-2021,142697
01-01-2022,143105
01-02-2022,143105
01-03-2022,143105
01-04-2022,143514
01-05-2022,143514
01-06-2022,143514
01-07-2022,143923
01-08-2022,143923
01-09-2022,143923
01-10-2022,144332
01-11-2022,144332
01-12-2022,144332
01-01-2023,144740
01-02-2023,144740
01-03-2023,144740
01-04-2023,145149
01-05-2023,145149
01-06-2023,145149
01-07-2023,145558
01-08-2023,145558
01-09-2023,145558
01-10-2023,145967
01-11-2023,145967
01-12-2023,145967
01-01-2024,146375
