DATE,A939RX0Q048SBEA
01-01-2004,52179
01-02-2004,52179
01-03-2004,52179
01-04-2004,52469
01-05-2004,52469
01-06-2004,52469
01-07-2004,52835
01-08-2004,52835
01-09-2004,52835
01-10-2004,53242
01-11-2004,53242
01-12-2004,53242
01-01-2005,53719
01-02-2005,53719
01-03-2005,53719
01-04-2005,53868
01-05-2005,53868
01-06-2005,53868
01-07-2005,54153
01-08-2005,54153
01-09-2005,54153
01-10-2005,54317
01-11-2005,54317
01-12-2005,54317
01-01-2006,54927
01-02-2006,54927
01-03-2006,54927
01-04-2006,54945
01-05-2006,54945
01-06-2006,54945
01-07-2006,54886
01-08-2006,54886
01-09-2006,54886
01-10-2006,55216
01-11-2006,55216
01-12-2006,55216
01-01-2007,55260
01-02-2007,55260
01-03-2007,55260
01-04-2007,55474
01-05-2007,55474
01-06-2007,55474
01-07-2007,55649
01-08-2007,55649
01-09-2007,55649
01-10-2007,55857
01-11-2007,55857
01-12-2007,55857
01-01-2008,55497
01-02-2008,55497
01-03-2008,55497
01-04-2008,55705
01-05-2008,55705
01-06-2008,55705
01-07-2008,55278
01-08-2008,55278
01-09-2008,55278
01-10-2008,53941
01-11-2008,53941
01-12-2008,53941
01-01-2009,53221
01-02-2009,53221
01-03-2009,53221
01-04-2009,53017
01-05-2009,53017
01-06-2009,53017
01-07-2009,53081
01-08-2009,53081
01-09-2009,53081
01-10-2009,53531
01-11-2009,53531
01-12-2009,53531
01-01-2010,53683
01-02-2010,53683
01-03-2010,53683
01-04-2010,54100
01-05-2010,54100
01-06-2010,54100
01-07-2010,54401
01-08-2010,54401
01-09-2010,54401
01-10-2010,54569
01-11-2010,54569
01-12-2010,54569
01-01-2011,54341
01-02-2011,54341
01-03-2011,54341
01-04-2011,54610
01-05-2011,54610
01-06-2011,54610
01-07-2011,54482
01-08-2011,54482
01-09-2011,54482
01-10-2011,54979
01-11-2011,54979
01-12-2011,54979
01-01-2012,55342
01-02-2012,55342
01-03-2012,55342
01-04-2012,55490
01-05-2012,55490
01-06-2012,55490
01-07-2012,55454
01-08-2012,55454
01-09-2012,55454
01-10-2012,55403
01-11-2012,55403
01-12-2012,55403
01-01-2013,55859
01-02-2013,55859
01-03-2013,55859
01-04-2013,55914
01-05-2013,55914
01-06-2013,55914
01-07-2013,56272
01-08-2013,56272
01-09-2013,56272
01-10-2013,56642
01-11-2013,56642
01-12-2013,56642
01-01-2014,56345
01-02-2014,56345
01-03-2014,56345
01-04-2014,56968
01-05-2014,56968
01-06-2014,56968
01-07-2014,57536
01-08-2014,57536
01-09-2014,57536
01-10-2014,57702
01-11-2014,57702
01-12-2014,57702
01-01-2015,58121
01-02-2015,58121
01-03-2015,58121
01-04-2015,58376
01-05-2015,58376
01-06-2015,58376
01-07-2015,58486
01-08-2015,58486
01-09-2015,58486
01-10-2015,58470
01-11-2015,58470
01-12-2015,58470
01-01-2016,58704
01-02-2016,58704
01-03-2016,58704
01-04-2016,58787
01-05-2016,58787
01-06-2016,58787
01-07-2016,59084
01-08-2016,59084
01-09-2016,59084
01-10-2016,59296
01-11-2016,59296
01-12-2016,59296
01-01-2017,59494
01-02-2017,59494
01-03-2017,59494
01-04-2017,59736
01-05-2017,59736
01-06-2017,59736
01-07-2017,60099
01-08-2017,60099
01-09-2017,60099
01-10-2017,60674
01-11-2017,60674
01-12-2017,60674
01-01-2018,61093
01-02-2018,61093
01-03-2018,61093
01-04-2018,61336
01-05-2018,61336
01-06-2018,61336
01-07-2018,61622
01-08-2018,61622
01-09-2018,61622
01-10-2018,61619
01-11-2018,61619
01-12-2018,61619
01-01-2019,61889
01-02-2019,61889
01-03-2019,61889
01-04-2019,62331
01-05-2019,62331
01-06-2019,62331
01-07-2019,62945
01-08-2019,62945
01-09-2019,62945
01-10-2019,63257
01-11-2019,63257
01-12-2019,63257
01-01-2020,62333
01-02-2020,62333
01-03-2020,62333
01-04-2020,57383
01-05-2020,57383
01-06-2020,57383
01-07-2020,61803
01-08-2020,61803
01-09-2020,61803
01-10-2020,62411
01-11-2020,62411
01-12-2020,62411
01-01-2021,63224
01-02-2021,63224
01-03-2021,63224
01-04-2021,64153
01-05-2021,64153
01-06-2021,64153
01-07-2021,64611
01-08-2021,64611
01-09-2021,64611
01-10-2021,65648
01-11-2021,65648
01-12-2021,65648
01-01-2022,65284
01-02-2022,65284
01-03-2022,65284
01-04-2022,65127
01-05-2022,65127
01-06-2022,65127
01-07-2022,65469
01-08-2022,65469
01-09-2022,65469
01-10-2022,65799
01-11-2022,65799
01-12-2022,65799
01-01-2023,66096
01-02-2023,66096
01-03-2023,66096
01-04-2023,66357
01-05-2023,66357
01-06-2023,66357
01-07-2023,67050
01-08-2023,67050
01-09-2023,67050
01-10-2023,67513
01-11-2023,67513
01-12-2023,67513
01-01-2024,67672
